"","heading","difficulty","languages","description","images"
"26","Space tourism multi-page website","3intermediate","HTMLCSSJS","This project is a fun collaboration with Scrimba and Kevin Powell! If you like, you can follow along and watch Kevin complete the project on Scrimba. Lots to learn!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/bbbbk7sghmqsg4zhqdo6.jpg"
"27","E-commerce product page","3intermediate","HTMLCSSJS","In this challenge, you'll build a beautiful product page. We'll be putting your JS skills to the test with a lightbox product gallery and cart functionality!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/fhzpdnabrek50hvhftnl.jpg"
"28","Memory game","4advanced","HTMLCSSJS","This project will be an excellent test for your HTML, CSS, and JS skills! You'll be building a fun memory game where players try to match pairs.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/lphd7s3gcbcgcxmfjt19.jpg"
"29","Time tracking dashboard","2junior","HTMLCSSJS","A perfect opportunity to practice your CSS Grid skills. For anyone wanting to take it up a notch, we provide a JSON data file to practice working with data.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/j1ocp59n25odoftocgpi.jpg"
"30","GitHub user search app","2junior","HTMLCSSJSAPI","In this project, you'll use the GitHub users API to pull profile data and display it. It's a great challenge if you're looking to practice working with a 3rd-party API.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/nr37our6z7faztmhwj9r.jpg"
"31","Order summary component","1newbie","HTMLCSS","A perfect project for newbies who are starting to build confidence with layouts!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/ouobx6tvyduidzio7wr7.jpg"
"32","Galleria slideshow site","3intermediate","HTMLCSSJS","This art gallery slideshow project will be a great test for your layout and JS skills. With the masonry layout, slideshow logic, and lightbox view there's a lot to build!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/nlvtx70nqb7vj1xfwj22.jpg"
"33","Tip calculator app","2junior","HTMLCSSJS","This small app is perfect for anyone starting to get to grips with JavaScript. The calculator functionality will be a nice test!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/hxkpctp6cd1meeytfdl2.jpg"
"34","Product feedback app","5guru","HTMLCSSJS","This will be a perfect portfolio piece! You'll be working with JSON, managing state, and building like a real-world app. You can even create it as a full-stack project!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/zbq5rrhkqt63eodwcxcs.jpg"
"35","Sunnyside agency landing page","2junior","HTMLCSSJS","This challenge will be a perfect test of your layout and responsive skills. There's a tiny bit of JS for the mobile menu, but the focus is HTML & CSS.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/pigotdvhcch2b3wp9uuc.jpg"
"36","Planets fact site","3intermediate","HTMLCSSJS","In this challenge, you'll be building out an 8-page fact site for all planets in our solar system. This project will make an incredible portfolio piece when completed!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/wrljilk72cxhipdjyhpa.jpg"
"37","Calculator app","3intermediate","HTMLCSSJS","This calculator app will be a great test of your CSS and JS skills especially. If you're wanting to practice using Grid, this challenge will be perfect for you!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/zjx3vvssz4f9zxr2djai.jpg"
"38","Audiophile e-commerce website","5guru","HTMLCSSJS","This huge e-commerce challenge will provide an incredible test for your front-end skills. Once you're done, you'll have an amazing project to add to your portfolio!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/xfevkvpujubwentbteg6.jpg"
"39","Stats preview card component","1newbie","HTMLCSS","This is a great small challenge to help get you used to building to a design. There's no JS in this project, so you'll be able to focus on your HTML & CSS skills.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/sucvvhutd4codsxpzvw7.jpg"
"40","Meet landing page","1newbie","HTMLCSS","This HTML & CSS only challenge is perfect if you're starting to get a bit comfortable with your layout skills. The responsive layout shifts will also be a great test!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/edwlbe4gedvld6yqyazw.jpg"
"41","3-column preview card component","1newbie","HTMLCSS","This challenge is perfect if you're just getting started. The shift between the layouts will be a nice test if you're new to building responsive projects.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/juir90bwmmvlo86g9paz.jpg"
"42","Typemaster pre-launch landing page","2junior","HTMLCSS","This project will be a perfect opportunity to put your CSS Grid skills to the test. The layout shifts from mobile, to tablet, to desktop will also be a nice challenge.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/h5oer4lxahk5ccqvyowy.jpg"
"43","Blogr landing page","2junior","HTMLCSSJS","Flex your layout muscles with this landing page challenge. You'll mostly be working with HTML & CSS for this project with a tiny bit of JS for the mobile menu.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/wdor1bppurckam2nrhwn.jpg"
"44","Invoice app","5guru","HTMLCSSJS","This invoicing app project will test you on many levels. You'll be working with JSON data, managing state, plus a lot more. You can even build it out as a full-stack app!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/ael6vr3wsyatqcrzxzg1.jpg"
"45","Crowdfunding product page","2junior","HTMLCSSJS","This challenge will test both your layout and state management skills. As visitors make pledges, your goal is to keep track of the changes.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/tbvaexdry87sqjmbzt5o.jpg"
"46","Coffeeroasters subscription site","3intermediate","HTMLCSSJS","This challenge will have you building a 3-page subscription site. As part of the project, you'll create an interactive subscription page to test your JS and logic skills!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/qwfjjtc2edfogm32keno.jpg"
"47","Interactive pricing component","2junior","HTMLCSSJS","In this project, you'll build out an interactive pricing component complete with custom range input slider and pricing toggle. A perfect way to test your JS skills!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/fp0qtspesm6i0miyqncg.jpg"
"48","Maker pre-launch landing page","2junior","HTMLCSSJS","Put your layout skills to the test with this landing page challenge. The only JS you'll need will be for the custom form validation on the email input.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/xpfjecrtnna43teylvoa.jpg"
"49","Loopstudios landing page","2junior","HTMLCSSJS","This challenge is perfect if you're looking to test your CSS Grid chops. Even without Grid, this project will be a fun one to help you practice your layout skills!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/f00lkcojzyklnglc3ffr.jpg"
"50","Pomodoro app","4advanced","HTMLCSSJS","This Pomodoro app will provide some tricky challenges, including building a circular progress bar. You'll also build a range of customizations, like colors and fonts.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/brpylxucuonbpy2mujdy.jpg"
"51","Launch countdown timer","3intermediate","HTMLCSSJS","This will be a fun one! Your challenge is to build this countdown timer. There are lots of small CSS tests in the design as well. So it should keep you busy!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/yf5s8ekgwaft5w57ju6u.jpg"
"52","Creative agency single-page site","3intermediate","HTMLCSSJS","This challenge will put your layout skills to the test with lots of overlapping elements. If you're getting confident with your CSS layouts, this will be a great project!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/elfkzwrvlhcxvoy9442f.jpg"
"53","Todo app","3intermediate","HTMLCSSJS","The classic todo app with a few twists! This app includes a dark/light theme toggle and drag & drop reordering for anyone wanting an extra test.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/ty4ppudcq94rtgj4rv6p.jpg"
"54","Pod request access landing page","1newbie","HTMLCSSJS","In this challenge, you'll be building out an early access landing page that includes custom form validation.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/gaqhj5z5pdvyztzm8mwt.jpg"
"55","Profile card component","1newbie","HTMLCSS","This is a perfect challenge to test your layout skills. The card layout doesn't shift, so it's also great for those that haven't dived into responsive websites yet!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/dia0o9uigiiz4gebiqps.jpg"
"56","Clock app","3intermediate","HTMLCSSJSAPI","This challenge will have you working with external APIs to set data based on a visitor's location. You'll also be using logic to set content depending on the time of day.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/cpub8v9o7uxugll9bwab.jpg"
"57","Officelite coming soon site","2junior","HTMLCSSJS","This 2-page challenge will be a perfect test if you're starting to get comfortable with your HTML & CSS skills. There are a couple of small bonus challenges too!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/vn5vgcbphrtaajszr6fn.jpg"
"58","Testimonials grid section","2junior","HTMLCSS","This challenge will be perfect practice for anyone wanting to test their CSS Grid skills. Grid is such a powerful addition to CSS, so it's worth getting to grips with it!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/hlfgqwj3chzij3t5erjv.jpg"
"59","Designo multi-page website","5guru","HTMLCSSJS","This one's a BIG project! This challenge includes 5 different templates that make up a 7-page site. A perfect portfolio piece to show how you build multi-page websites!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/y70y9zpnrnhw9pxqbenq.jpg"
"60","FAQ accordion card","1newbie","HTMLCSSJS","In this challenge, you'll be building out an FAQ accordion. This is an extremely common front-end pattern, so it's a great opportunity to get some practice in!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/ua4zwoxu3i9avrzrusre.jpg"
"61","Devjobs web app","4advanced","HTMLCSSJS","Build a jobs board that pulls data from a local JSON file. This is a great opportunity to practice JS and get to grips with a framework/library of your choice!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/awzekbun4czymrubupcn.jpg"
"62","Room homepage","3intermediate","HTMLCSSJS","This small homepage challenge packs a big punch to test your layout skills. There's also a slider in there to add a JS layer for extra practice.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/m1v21ubdjc2n75bl8p7n.jpg"
"63","PayAPI multi-page website","4advanced","HTMLCSSJS","This 4-page website will be a great test for your HTML & CSS skills. You'll be building out a marketing site, complete with custom form validation throughout.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/zedk6plxdzanqoinnxla.jpg"
"64","Social proof section","1newbie","HTMLCSS","This project will test your layout skills. If you're starting to get confident with Flexbox or Grid, this will provide a nice challenge!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/bnjpxmx9fudsmerfj6eo.jpg"
"65","Photosnap multi-page website","4advanced","HTMLCSSJS","In this challenge, you'll be building the marketing site for a photo-sharing app. This will be a perfect opportunity to put your CSS Grid skills to the test!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/bgjwz6i6nfnqngx7ae36.jpg"
"66","IP Address Tracker","3intermediate","HTMLCSSJSAPI","In this challenge, you'll be using two separate APIs together to create an IP Address Tracking app.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/zfgce1seaqfllpuktpai.jpg"
"67","Arch Studio multi-page website","4advanced","HTMLCSSJS","In this challenge, you'll be building a 4-page site that will look great in any portfolio. You'll even get the chance to play with mapping APIs if you choose the bonus.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/aywluxa3cncqcu26m3vi.jpg"
"68","Chat app CSS illustration","3intermediate","HTMLCSS","In this challenge, you'll be building out the entire app illustration from scratch. This will seriously test your CSS skills. So give it a go if you feel confident!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/xi4n6u5jtftsy9sbukd1.jpg"
"69","Article preview component","1newbie","HTMLCSSJS","Practice your layout skills with this article preview component. There's lots of fun to be had playing around with animations for the sharing icons as well.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/tm7zwaa7fprabjbwbemt.jpg"
"70","Fylo data storage component","2junior","HTMLCSS","This component has some interesting CSS challenges in the design. If you're looking to test your CSS skills, this will be a great project for you!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/jve24exh4iwonznfndfc.jpg"
"71","Coding bootcamp testimonials slider","2junior","HTMLCSSJS","This challenge will be a nice test if you're new to JavaScript. It's also a great opportunity to play around with content animations and transitions.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/ajxwviujv7lrjghuhdxs.jpg"
"72","Scoot multi-page website","3intermediate","HTMLCSSJS","This multi-page website will really test your front-end skills. There are 4 pages to build with mobile, tablet, and desktop designs included.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/v6totnrrz9tl9fge8eyi.jpg"
"73","Dine restaurant website","3intermediate","HTMLCSSJS","This two-page website is perfect if you're starting to become more confident in your front-end skills. The challenge includes tricky design details and form validation.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/wpqtsqxuygyatac0nog7.jpg"
"74","Social media dashboard with theme switcher","2junior","HTMLCSSJS","This challenge will be a perfect chance to practice your Grid skills. The color theme switcher also adds a nice additional test.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/litdnhptrj3uurnnzj0m.jpg"
"75","Minimalist portfolio website","3intermediate","HTMLCSSJS","This multi-page portfolio site will be a great challenge to test your all-round front-end skills. You can even use the site as your own portfolio when you're finished!","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/zdxcoacbs8uqjynxmuh4.jpg"
"76","Job listings with filtering","3intermediate","HTMLCSSJS","In this challenge, you'll be using JavaScript to filter out jobs based on selected categories. We provide a local JSON file to help you practice working with JSON data.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/vhouwacmyw27vhcvq8zm.jpg"
"77","Easybank landing page","3intermediate","HTMLCSSJS","This challenge will provide a nice test for your layout skills. If you're ready to move up from Junior challenges, this one is a great next step.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/o4iyywkwjc31epcmsmyo.jpg"
"78","myteam multi-page website","4advanced","HTMLCSSJS","This challenge will give you a real glimpse into a professional front-end developer's workflow. It includes designs for a 3-page fully-functional website.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/vivqu9zlxbcv5mgxdjxq.jpg"
"79","Manage landing page","3intermediate","HTMLCSSJS","This challenge will be a great test for your responsive skills. There are lots of small details and slight content shifts for different screen sizes.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/dnn0oqu9q1r6dpq2lmr8.jpg"
"80","Insure landing page","2junior","HTMLCSSJS","Test your layout skills with this HTML & CSS only landing page. This challenge is perfect if you're starting to get confident in laying out web pages.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/wmd0ftb9v4qsmladsdzv.jpg"
"81","Pricing component with toggle","2junior","HTMLCSSJS","This challenge will get you thinking about building an accessible custom toggle control and also test your layout skills.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/sjsrx7m77v6pxswdm0mx.jpg"
"82","Rock, Paper, Scissors game","4advanced","HTMLCSSJS","This challenge will test your HTML, CSS and JavaScript skills. There's even a Rock, Paper, Scissors, Lizard, Spock version if you really want to challenge yourself.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/hoqxujbnnumv1ildmus4.jpg"
"83","URL shortening API landing page","3intermediate","HTMLCSSJSAPI","Integrate with the shrtcode URL shortening API and play with browser storage in this landing page challenge.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/katmpcijwnmclxyfw3wr.jpg"
"84","Four card feature section","1newbie","HTMLCSS","A nice layout-based challenge for beginners. This will test anyone who is new to multi-column and responsive layouts.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/a3b5gbgtfbtiqrdawpwp.jpg"
"85","Base Apparel coming soon page","1newbie","HTMLCSSJS","This layout looks simple enough, but there are some interesting details to it that will test your CSS skills. You'll also get to practice basic form validation.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/tjmihf4uv326gkkz7mbk.jpg"
"86","Project tracking intro component","2junior","HTMLCSSJS","Some interesting layout and code challenges are baked into this design. Perfect if you're a beginner who is starting to get a bit more confident with your layouts.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/bfsviv4bu5yxoxxhwbeq.jpg"
"87","Bookmark landing page","3intermediate","HTMLCSSJS","This challenge will really test your layout skills. There are also areas that will require some JavaScript, such as the tabbed features section and the FAQ accordion.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/hwi1ergmy7tibqa5bvyf.jpg"
"88","Intro component with sign-up form","1newbie","HTMLCSSJS","Practice building out a sign-up form complete with client-side validation using JavaScript.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/ficuxtmo5kmd5bb8lmws.jpg"
"89","Single price grid component","1newbie","HTMLCSS","In this challenge, you will build out the pricing component to the designs provided. This is perfect for beginners and people who want to complete a smaller challenge.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/i6wu7n5sthrxgfpfibvx.jpg"
"90","Clipboard landing page","2junior","HTMLCSS","Put your layout skills to the test with this HTML & CSS landing page challenge. This challenge includes a design for hover states.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/nem2gkhh4jptjzjb0y2y.jpg"
"91","Ping single column coming soon page","1newbie","HTMLCSSJS","This challenge is great for beginners and offers a chance to practice basic client-side form validation.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/qjiprcu1e19yvujjrflv.jpg"
"92","REST Countries API with color theme switcher","4advanced","HTMLCSSJSAPI","If you're wanting to test your JavaScript skills this is the challenge for you. Use whichever JS framework you prefer and pull data from the REST Countries API.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/yhq5ihanseyinzwblaw1.jpg"
"93","Huddle landing page with alternating feature blocks","2junior","HTMLCSS","This challenge is perfect if you're wanting to practice your layout skills. If you're starting to get a bit more confident laying out a web page, give this project a go.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/y6pmwmuyxhqn0jxwgxxj.jpg"
"94","Fylo dark theme landing page","2junior","HTMLCSSJS","This design has some nice layout challenges in it. A perfect training ground to practice your Flexbox and/or Grid skills.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/mhwyzwfgaii3cw5s6jco.jpg"
"95","Huddle landing page with a single introductory section","1newbie","HTMLCSS","A perfect challenge for beginners, this project will get you working with a two column layout.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/aaykth21moiquxkubywu.jpg"
"96","Fylo landing page with two column layout","2junior","HTMLCSS","This project is great if you're starting to get confident with slightly more complex layouts. The second section with the testimonial area will provide a nice challenge.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/qwzpljolfstrtrqq083p.jpg"
"97","Huddle landing page with curved sections","2junior","HTMLCSS","Practice using pseudo-elements for styling extras and the CSS position property for the sections with curved edges.","https://res.cloudinary.com/dz209s6jk/image/upload/f_auto,q_auto,w_475/Challenges/h8osxwiem1fjujhthbok.jpg"
